"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Dent";355.48117;4.161172179;11.27932759;69.15800183;1213.44;20.38868882
"Dent";354.8215384;2.498686313;11.99051271;69.25661573;918.79;15.78704274
"Dent";369.8652116;2.145744424;10.51303604;71.04132527;1172.62;20.43930612
"Dent";375.1287598;2.501156429;11.50523625;70.5791233;1133.22;18.65562795
"Dent";357.8787598;3.251156429;11.45523625;70.3791233;1144.96;19.24699842
"Dent";367.8652116;2.445744424;12.31303604;70.74132527;1163.11;21.67007535
"Dent";359.6287598;3.926156429;12.33023625;70.5541233;1067.03;21.24699842
"Dent";351.48117;4.761172179;13.17932759;67.45800183;1212.45;22.22868882
"Dent";327.8787598;4.176156429;13.83023625;66.1541233;1296.07;24.60670695
"Dent";274.3652116;2.945744424;15.01303604;62.69132527;1308.09;24.05757261
"Dent";365.7347802;4.201563042;11.54726042;70.53008236;1226.68;20.02868882
"Dent";349.4014468;4.334896376;12.68059375;69.09674902;1128.3;20.93930612
"Tropical";343.4014468;3.368229709;11.11392708;71.89674902;1288.42;22.82868882
"Tropical";354.2492532;2.23031667;13.44674449;67.72464871;1279.57;22.74868882
"Tropical";335.8615852;3.471758474;13.78122683;65.81612262;1287.47;23.2
"Tropical";337.48117;3.561172179;14.07932759;69.05800183;1257.74;22.26868882
"Tropical";355.48117;2.261172179;8.579327588;74.05800183;1285.21;22.65
"Tropical";355.8615852;2.671758474;12.13122683;69.96612262;1248.58;21.90084458
"Tropical";359.48117;3.061172179;12.87932759;72.35800183;1259.04;22.98868882
"Tropical";363.4014468;2.701563042;10.01392708;73.69674902;1284.49;22.54868882
"Tropical";342.4014468;4.168229709;11.88059375;69.26341569;1354;20.34419436
"Tropical";322.3652116;3.795744424;14.86303604;63.54132527;1382.99;27.75
"Flint";310.553846;3.621715783;15.22628177;63.96653933;885.19;12.62868882
"Dent";323.053846;3.721715783;12.62628177;69.16653933;922.53;15.59315227
